'Tabelle 2.'7-2':';;;;;;;;;;;;;Indikatoren 2.7/2.8;;;Metadaten;Metadaten
"Altersstruktur und Lastenquotienten in Berlin 1990 - 2010 (Stand: 31.12.)
nach Geschlecht und Bezirken";;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"Bezirk /
Jahr";Bevölkerung insgesamt;;;;;;;Mädchen / Frauen ;;;;;Jugend-quotient1);Alten-quotient2);;;
;Alter in Jahren;;;;;;;;;;;;;;;;
;0-5;6-14;15-17;18-34;35-64;65-79;"80 u.
älter";0-17;18-34;35-64;65-79;"80 u.
älter";;;;;
;;;;;;;;;;;;;;;;;
;Anteil der Altersgruppe in %;;;;;;;Mädchen-/Frauenanteil in %;;;;;;;;;
;;;;;;;;;;;;;;;;;
Berlin;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1990;6,7 ;9,2 ;2,6 ;28,1 ;39,2 ;9,7 ;4,5 ;48,7 ;48,8 ;50,1 ;69,0 ;76,6 ;27,6 ;21,1    ;;;
1991;6,5 ;9,4 ;2,7 ;27,8 ;39,6 ;9,4 ;4,6 ;48,7 ;49,0 ;49,9 ;68,5 ;76,8 ;27,5 ;20,8    ;;;
1992;6,2 ;9,5 ;2,8 ;27,6 ;40,0 ;9,2 ;4,6 ;48,7 ;49,0 ;49,7 ;67,6 ;77,0 ;27,4 ;20,4    ;;;
1993;5,9 ;9,7 ;2,9 ;27,4 ;40,4 ;9,1 ;4,6 ;48,7 ;49,0 ;49,7 ;66,5 ;77,2 ;27,3 ;20,2    ;;;
1994;5,6 ;9,8 ;3,0 ;27,0 ;41,0 ;9,1 ;4,6 ;48,7 ;49,0 ;49,6 ;65,3 ;77,4 ;26,9 ;20,1    ;;;
1995;5,3 ;9,8 ;3,1 ;26,7 ;41,5 ;9,3 ;4,4 ;48,6 ;48,9 ;49,4 ;64,2 ;77,7 ;26,6 ;20,1    ;;;
1996;5,0 ;9,7 ;3,2 ;26,2 ;42,2 ;9,5 ;4,2 ;48,6 ;48,9 ;49,4 ;63,2 ;77,9 ;26,2 ;20,0    ;;;
1997;5,0 ;9,5 ;3,3 ;25,6 ;43,0 ;9,8 ;4,0 ;48,6 ;48,9 ;49,4 ;62,5 ;78,1 ;25,8 ;20,0    ;;;
1998;4,9 ;9,1 ;3,2 ;25,1 ;43,8 ;10,0 ;3,8 ;48,6 ;49,0 ;49,4 ;61,8 ;78,2 ;25,1 ;20,1    ;;;
1999;5,0 ;8,8 ;3,2 ;24,6 ;44,2 ;10,4 ;3,7 ;48,6 ;49,0 ;49,4 ;60,7 ;77,9 ;24,6 ;20,6    ;;;
2000;5,0 ;8,5 ;3,1 ;24,2 ;44,6 ;10,8 ;3,8 ;48,7 ;49,2 ;49,4 ;59,5 ;77,5 ;24,1 ;21,2    ;;;
2001;5,0 ;8,1 ;3,1 ;24,0 ;44,8 ;11,1 ;3,9 ;48,7 ;49,3 ;49,4 ;58,4 ;77,2 ;23,6 ;21,8    ;;;
2002;5,0 ;7,8 ;3,2 ;23,8 ;44,8 ;11,6 ;3,9 ;48,8 ;49,4 ;49,4 ;57,6 ;76,9 ;23,2 ;22,5    ;;;
2003;5,0 ;7,5 ;3,2 ;23,5 ;44,9 ;12,1 ;3,8 ;48,7 ;49,6 ;49,4 ;56,8 ;76,7 ;22,9 ;23,4    ;;;
2004;5,0 ;7,2 ;3,2 ;23,3 ;44,7 ;12,7 ;3,9 ;48,7 ;49,7 ;49,3 ;56,1 ;76,2 ;22,5 ;24,4    ;;;
2005;4,9 ;7,0 ;3,1 ;23,3 ;44,4 ;13,3 ;3,9 ;48,7 ;49,7 ;49,2 ;55,4 ;75,4 ;22,2 ;25,4    ;;;
2006;4,9 ;6,9 ;2,8 ;23,4 ;44,0 ;13,9 ;4,0 ;48,7 ;49,8 ;49,2 ;54,9 ;74,5 ;21,8 ;26,6    ;;;
2007;5,0 ;6,9 ;2,6 ;23,6 ;43,6 ;14,3 ;4,0 ;48,7 ;50,0 ;49,2 ;54,6 ;73,3 ;21,5 ;27,3    ;;;
2008;5,1 ;6,9 ;2,3 ;23,9 ;43,0 ;14,7 ;4,1 ;48,7 ;50,1 ;49,2 ;54,4 ;71,9 ;21,4 ;28,1    ;;;
2009;5,2 ;6,9 ;2,3 ;24,0 ;42,5 ;15,0 ;4,2 ;48,7 ;50,1 ;49,3 ;54,2 ;70,5 ;21,6 ;28,8    ;;;
2010;5,4 ;6,9 ;2,2 ;24,1 ;42,3 ;14,9 ;4,2 ;48,7 ;50,2 ;49,3 ;54,2 ;69,2 ;21,8 ;28,8    ;;;
;;;;;;;;;;;;;;;;;
Mitte (bis 2000: Mitte, Tiergarten, Wedding);;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
