'Tabelle 2.2.'31':';;;;;;;Indikator 2.24;;;;Metadaten
"Empfängerhaushalte von Wohngeld in Berlin 2006 - 2008 (Stand: 31.12.)
nach Bezirken";;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Bezirk;;;;;;;;;;;
;absolut;in %;je 1.000 Privat-haus-halte2);absolut;in %;je 1.000 Privat-haus-halte2);absolut;in %;je 1.000 Privat-haus-halte2);;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;2006;;;2007;;;2008;;;;
;;;;;;;;;;;
Mitte;3.382  ;10,0    ;18,0     ;2.505  ;10,0    ;13,3     ;2.668  ;9,9    ;14,1     ;;
Friedrichshain-Kreuzberg;3.656  ;10,8    ;21,3     ;2.847  ;11,4    ;16,4     ;3.052  ;11,3    ;17,3     ;;
Pankow;4.341  ;12,8    ;19,7     ;3.147  ;12,6    ;14,4     ;3.339  ;12,4    ;15,1     ;;
Charlottenburg-Wilmersdorf;2.069  ;6,1    ;10,5     ;1.394  ;5,6    ;7,0     ;1.477  ;5,5    ;7,4     ;;
Spandau;1.985  ;5,9    ;16,6     ;1.623  ;6,5    ;13,6     ;1.839  ;6,8    ;15,6     ;;
Steglitz-Zehlendorf;1.440  ;4,3    ;9,1     ;798  ;3,2    ;4,9     ;973  ;3,6    ;6,1     ;;
Tempelhof-Schöneberg;2.390  ;7,1    ;12,7     ;1.653  ;6,6    ;8,7     ;1.856  ;6,9    ;9,6     ;;
Neukölln;3.324  ;9,8    ;20,2     ;2.365  ;9,5    ;14,2     ;2.293  ;8,5    ;13,5     ;;
Treptow-Köpenick;2.791  ;8,3    ;21,2     ;2.050  ;8,2    ;15,9     ;2.124  ;7,9    ;15,9     ;;
Marzahn-Hellersdorf;3.118  ;9,2    ;24,0     ;2.458  ;9,9    ;19,2     ;2.871  ;10,6    ;22,2     ;;
Lichtenberg;3.484  ;10,3    ;25,5     ;2.690  ;10,8    ;19,0     ;2.932  ;10,9    ;20,1     ;;
Reinickendorf;1.822  ;5,4    ;14,6     ;1.404  ;5,6    ;11,2     ;1.568  ;5,8    ;11,7     ;;
;;;;;;;;;;;
Berlin;33.802  ;100,0    ;17,5     ;24.934  ;100,0    ;12,8     ;26.992  ;100,0    ;13,7     ;;
;;;;;;;;;;;
;;;;;;;;;;;
1) Reine Wohngeldempfängerhaushalte sowie Mischhaushalte, in denen die Antragsteller/innen Transferleistungsempfangende sind;;;;;;;;;;;
     oder wo im Gesamthaushalt transferleistungsempfangende Personen leben.;;;;;;;;;;;
2) Privathaushalte: Ergebnisse des Mikrozensus des jeweiligen Jahres.;;;;;;;;;;;
(Datenquelle: AfS Berlin-Brandenburg / Berechnung: SenGesUmV - I A -);;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
